Gary Cichowicz,Gary Cichowicz (MD),1600/1600 Singles/Doubles Points AMATEUR
GARY CILIBERTO,Gary Cichowicz (MD),1600/1600 Singles/Doubles Points AMATEUR
GARY CLARK,GARY CILIBERTO (GA),1800/1800 Singles/Doubles Points AMATEUR
GARY CONLEY,GARY CONLEY (IL),2251/2250 Singles/Doubles Points EXPERT
GARY COOPER,GARY COOPER (AZ),1800/1800 Singles/Doubles Points AMATEUR
GARY COOPER,GARY COOPER (AZ),1800/1800 Singles/Doubles Points AMATEUR
Gary Cooperrider,Gary Cooperrider (OH),801/808 Singles/Doubles Points BEGINNER
Gary Crickmore,Gary Crickmore (OH),801/801 Singles/Doubles Points BEGINNER
Gary Davis,Gary Davis (OK),819/819 Singles/Doubles Points BEGINNER
GARY DEFFNER,GARY DEFFNER (CO),1800/1800 Singles/Doubles Points AMATEUR
GARY DEFOREST,GARY DEFOREST (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY DEGENHART,GARY DEGENHART (IN),1800/1800 Singles/Doubles Points AMATEUR
GARY DENNIS,GARY DEGENHART (IN),1800/1800 Singles/Doubles Points AMATEUR
Gary DeVoe,GARY DENNIS (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY DUGAN,GARY DUGAN (FL),1800/1800 Singles/Doubles Points AMATEUR
GARY EDDINGTON,GARY EDDINGTON (IA),1182/1182 Singles/Doubles Points ROOKIE
GARY EDGEWORTH,GARY EDGEWORTH (CO),3440/3440 Singles/Doubles Points PRO
GARY ELLERMAN,GARY ELLERMAN (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY ELSTON,GARY ELSTON (OR),1800/1800 Singles/Doubles Points AMATEUR
GARY ENGLISH,GARY ENGLISH (IL),1182/1182 Singles/Doubles Points ROOKIE
GARY FLESHMAN,GARY FLESHMAN (OH),1182/1182 Singles/Doubles Points ROOKIE
GARY FREEMAN,GARY FREEMAN (TX),1600/1600 Singles/Doubles Points AMATEUR
GARY GAGER,GARY GAGER (MI),801/801 Singles/Doubles Points BEGINNER
GARY GATES,GARY GATES (AK),800/1100 Singles/Doubles Points ROOKIE
GARY GLADFELTER,GARY GLADFELTER (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY GOLD,GARY GOLD (FL),1958/1816 Singles/Doubles Points AMATEUR
Gary Gray,Gary Gray (NC),1182/1182 Singles/Doubles Points ROOKIE
GARY GRUBBS,GARY L GRUBBS (IN),1778/1746 Singles/Doubles Points AMATEUR
GARY GULDEN,GARY GULDEN (MN),1800/1800 Singles/Doubles Points AMATEUR
GARY HALDEN,GARY HALDEN (MN),1800/1800 Singles/Doubles Points AMATEUR
Gary Hansen,Gary Hansen (WI),849/861 Singles/Doubles Points BEGINNER
Gary Hargis,Gary Hargis (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY HOLLIS,GARY HOLLIS (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY HONN,GARY HONN (OK),1800/1800 Singles/Doubles Points AMATEUR
GARY HORN,GARY HORN (OH),1182/1182 Singles/Doubles Points ROOKIE
Gary Housley,Gary D Housley (MT),1182/1182 Singles/Doubles Points ROOKIE
GARY HOWARD,GARY HOWARD (MS),2202/1776 Singles/Doubles Points EXPERT
GARY HUSTON,GARY HUSTON (TX),1182/1182 Singles/Doubles Points ROOKIE
GARY JOHNSTON,GARY JOHNSTON (GA),1182/1182 Singles/Doubles Points ROOKIE
GARY JOHNSTON,GARY JOHNSTON (GA),1182/1182 Singles/Doubles Points ROOKIE
GARY JONES,GARY JONES (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY KELLY,GARY JONES (TX),1800/1800 Singles/Doubles Points AMATEUR
Gary King,GARY KELLY (IN),1800/1800 Singles/Doubles Points AMATEUR
GARY KUMMA,GARY KUMMA (WA),1800/1800 Singles/Doubles Points AMATEUR
GARY LAMBRECHT,GARY LAMBRECHT (WI),1800/1800 Singles/Doubles Points AMATEUR
GARY LAWSON,GARY LAWSON (GA),1800/1800 Singles/Doubles Points AMATEUR
GARY LIME,GARY LIME (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY LIPPARD,GARY LIPPARD (IN),1800/1800 Singles/Doubles Points AMATEUR
GARY LOTZ,GARY LIPPARD (IN),1800/1800 Singles/Doubles Points AMATEUR
GARY LYNN SIMPSON,GARY LOTZ (LA),1800/1800 Singles/Doubles Points AMATEUR
GARY MADDERN,GARY MADDERN (KY),1182/1182 Singles/Doubles Points ROOKIE
Gary Mahoney,Gary Mahoney (IE),801/801 Singles/Doubles Points BEGINNER
GARY MAINE,GARY MAINE (TX),1182/1182 Singles/Doubles Points ROOKIE
GARY MANN,GARY MANN (IN),1800/1800 Singles/Doubles Points AMATEUR
GARY MONROG,GARY MONROG (NY),1800/1800 Singles/Doubles Points AMATEUR
GARY MYERS,GARY MYERS (SD),1800/1800 Singles/Doubles Points AMATEUR
GARY NELSON,GARY NELSON (WI),1800/1800 Singles/Doubles Points AMATEUR
GARY NORDIN,GARY NORDIN (WI),1800/1800 Singles/Doubles Points AMATEUR
Gary PARCHEM,Gary PARCHEM (OK),1200/1200 Singles/Doubles Points ROOKIE
GARY PARKINSON,GARY PARKINSON (MO),2166/2166 Singles/Doubles Points EXPERT
GARY PATERNITE,GARY PATERNITE (TX),1624/1648 Singles/Doubles Points AMATEUR
GARY PAUL,GARY PAUL (MO),1800/1800 Singles/Doubles Points AMATEUR
GARY PETERS,GARY PETERS (CO),801/801 Singles/Doubles Points BEGINNER
GARY PHIPPS,GARY PHIPPS (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY PRICE,GARY PRICE (LA),1182/1182 Singles/Doubles Points ROOKIE
GARY RICHARDSON,GARY RICHARDSON (LA),1800/1800 Singles/Doubles Points AMATEUR
GARY ROBERTS,GARY ROBERTS (MT),1800/1800 Singles/Doubles Points AMATEUR
GARY ROBERTS,GARY ROBERTS (MT),1800/1800 Singles/Doubles Points AMATEUR
GARY RODNEY,GARY RODNEY (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY RUSCH,GARY RUSCH (NV),1800/1800 Singles/Doubles Points AMATEUR
