BRUCE MARTIN,BRUCE MARTIN (GA),1182/1182 Singles/Doubles Points ROOKIE
BRUCE MCDONALD,BRUCE MCDONALD (CA),1800/1800 Singles/Doubles Points AMATEUR
BRUCE MINCHAU,BRUCE MINCHAU (WA),3100/3100 Singles/Doubles Points PRO
BRUCE MINKKINEN,BRUCE MINKKINEN (MN),1800/1800 Singles/Doubles Points AMATEUR
BRUCE MISENER,BRUCE MISENER (OK),1182/1182 Singles/Doubles Points ROOKIE
BRUCE NARDOCI,BRUCE NARDOCI (NC),3753/4167 Singles/Doubles Points PRO
BRUCE PETTY,BRUCE NARDOCI (NC),3753/4167 Singles/Doubles Points PRO
BRUCE SCHEREN,BRUCE PETTY (TX),1182/1182 Singles/Doubles Points ROOKIE
BRUCE SHANEYFELT,BRUCE E SHANEYFELT (OH),1800/1800 Singles/Doubles Points AMATEUR
BRUCE SILVA JUNIOR,BRUCE SILVA JUNIOR (HI),801/801 Singles/Doubles Points BEGINNER
BRUCE SILVA SENIOR,BRUCE SILVA SENIOR (HI),1600/1600 Singles/Doubles Points AMATEUR
BRUCE STANCEL,BRUCE STANCEL (TN),3075/3412 Singles/Doubles Points PRO
BRUCE STANCEL JUNIOR,BRUCE STANCEL JUNIOR (TN),800/821 Singles/Doubles Points BEGINNER
BRUCE STORY,BRUCE STORY (TX),1600/1600 Singles/Doubles Points AMATEUR
BRUCE TAYLOR,BRUCE TAYLOR (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE TEETERS,BRUCE TEETERS (GA),1182/1182 Singles/Doubles Points ROOKIE
BRUCE ULLOM,BRUCE ULLOM (SD),1659/1715 Singles/Doubles Points AMATEUR
BRUCE VAN BUSKIRK,BRUCE VAN BUSKIRK (CA),2362/2366 Singles/Doubles Points EXPERT
BRUCE VERKUILEN,BRUCE VERKUILEN (WI),1800/1800 Singles/Doubles Points AMATEUR
BRUCE WELTIN,BRUCE WELTIN (MA),2238/2557 Singles/Doubles Points EXPERT
Bruce Wynn,Bruce Wynn (TX),1934/1848 Singles/Doubles Points AMATEUR
Bruno Goncalves,Bruno Goncalves (LU),3100/3100 Singles/Doubles Points PRO
BRYAN ACRED,BRYAN ACRED (TX),1182/1182 Singles/Doubles Points ROOKIE
BRYAN ADDISON,BRYAN ADDISON (MO),1182/1182 Singles/Doubles Points ROOKIE
BRYAN ALTERGOTT,BRYAN ALTERGOTT (IL),1800/1800 Singles/Doubles Points AMATEUR
BRYAN BARBER,BRYAN BARBER (NM),1800/1800 Singles/Doubles Points AMATEUR
BRYAN BEELSO,BRYAN BEELSO (UT),1800/1800 Singles/Doubles Points AMATEUR
BRYAN BENNETT,BRYAN BENNETT (MI),801/801 Singles/Doubles Points BEGINNER
BRYAN BILBREY,BRYAN BILBREY (TX),1800/1800 Singles/Doubles Points AMATEUR
Bryan Borough,Bryan Borough (UT),800/800 Singles/Doubles Points BEGINNER
BRYAN BSEISO,BRYAN BSEISO (UT),1980/2100 Singles/Doubles Points EXPERT
BRYAN BUCKINGHAM,BRYAN BUCKINGHAM (NY),1182/1182 Singles/Doubles Points ROOKIE
bryan bullock,bryan bullock (OH),1182/1182 Singles/Doubles Points ROOKIE
BRYAN CLINE,BRYAN CLINE (TX),1182/1182 Singles/Doubles Points ROOKIE
BRYAN CORK,BRYAN CORK (IL),1800/1800 Singles/Doubles Points AMATEUR
BRYAN COX,BRYAN COX (TX),1800/1800 Singles/Doubles Points AMATEUR
BRYAN CRAWFORD,BRYAN CRAWFORD (MI),1800/1800 Singles/Doubles Points AMATEUR
BRYAN DANSER,BRYAN DANSER (MD),1182/1182 Singles/Doubles Points ROOKIE
BRYAN DE LA FUENTE,BRYAN DE LA FUENTE (CA),801/801 Singles/Doubles Points BEGINNER
BRYAN DECARLO,BRYAN DECARLO (IL),801/801 Singles/Doubles Points BEGINNER
BRYAN DONNER,BRYAN DONNER (MI),1800/1800 Singles/Doubles Points AMATEUR
Bryan Downing,Bryan Downing (OK),801/801 Singles/Doubles Points BEGINNER
BRYAN FORBES,BRYAN FORBES (NJ),1800/1800 Singles/Doubles Points AMATEUR
BRYAN FREEMAN,BRYAN FREEMAN (OK),1800/1800 Singles/Doubles Points AMATEUR
BRYAN GABBERT,BRYAN GABBERT (MO),1800/1800 Singles/Doubles Points AMATEUR
BRYAN HANSEN,BRYAN HANSEN (MN),1800/1800 Singles/Doubles Points AMATEUR
BRYAN HENDRICKS,BRYAN HENDRICKS (AZ),1848/1880 Singles/Doubles Points AMATEUR
BRYAN JONES,BRYAN JONES (GA),1800/1800 Singles/Doubles Points AMATEUR
Bryan JONES,BRYAN JONES (GA),1800/1800 Singles/Doubles Points AMATEUR
BRYAN LAGAULT,BRYAN LAGAULT (WI),1800/1800 Singles/Doubles Points AMATEUR
BRYAN LANE,BRYAN LANE (FL),1800/1800 Singles/Doubles Points AMATEUR
BRYAN LONDON,BRYAN LONDON (MO),801/801 Singles/Doubles Points BEGINNER
BRYAN LOUIS,BRYAN LOUIS (WI),1752/1828 Singles/Doubles Points AMATEUR
Bryan Olsen,Bryan D Olsen (MO),2166/2248 Singles/Doubles Points EXPERT
BRYAN PICKETT,BRYAN PICKETT (FL),811/911 Singles/Doubles Points BEGINNER
BRYAN PICKETT,BRYAN PICKETT (FL),811/911 Singles/Doubles Points BEGINNER
Bryan Racicot,Bryan Racicot (NC),801/801 Singles/Doubles Points BEGINNER
Bryan Ramaekers,Bryan Ramaekers (Bocholtz),1600/1600 Singles/Doubles Points AMATEUR
BRYAN REECE,BRYAN REECE (TX),2264/2264 Singles/Doubles Points EXPERT
BRYAN ROBERT,BRYAN ROBERT (LA),1800/1800 Singles/Doubles Points AMATEUR
