ROY DYSON,ROY DYSON (UK),1800/1800 Singles/Doubles Points AMATEUR
ROY EUPER,ROY DYSON (UK),1800/1800 Singles/Doubles Points AMATEUR
ROY GOULET,ROY EUPER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY LEE,ROY EUPER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY MARGOLIS,ROY LEE (MT),1800/1800 Singles/Doubles Points AMATEUR
ROY MILLER,ROY MILLER (TX),1800/1800 Singles/Doubles Points AMATEUR
Roy MONTEGUT,Roy MONTEGUT (LA),1853/2416 Singles/Doubles Points EXPERT
ROY RADOSEVICH,ROY RADOSEVICH (WI),1800/1800 Singles/Doubles Points AMATEUR
ROY REYES,ROY REYES (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY SELSOR,ROY SELSOR (OK),1800/1800 Singles/Doubles Points AMATEUR
Roy Shelley,Roy Shelley (IL),1600/1600 Singles/Doubles Points AMATEUR
ROY SIMS,ROY SIMS (OH),1800/1800 Singles/Doubles Points AMATEUR
ROY SPENCER,ROY SPENCER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY THORP,ROY THORP (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY TREVINO,ROY TREVINO (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY VASSER,ROY VASSER (NY),1800/1800 Singles/Doubles Points AMATEUR
ROY WILLIAMS,ROY WILLIAMS (CA),1800/1800 Singles/Doubles Points AMATEUR
ROY WOODHOUSE,ROY WOODHOUSE (FL),1800/1800 Singles/Doubles Points AMATEUR
ROY YANEZ JR,ROY YANEZ JR (CA),1800/1800 Singles/Doubles Points AMATEUR
ROY YBARRA,ROY YBARRA (TX),1800/1800 Singles/Doubles Points AMATEUR
Royce Jones,Royce Jones (CO),801/801 Singles/Doubles Points BEGINNER
Roz Cowan,Roz Cowan (),599/599 Singles/Doubles Points JUNIOR PRO
RUBEN ALEXANDER CHAVEZ,RUBEN ALEXANDER CHAVEZ (TX),400/400 Singles/Doubles Points JUNIOR AMATEUR
RUBEN CARRASCO,RUBEN CARRASCO (TX),1182/1182 Singles/Doubles Points ROOKIE
RUBEN CHAVEZ,RUBEN M CHAVEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RUBEN CONTRERAS,RUBEN CONTRERAS (CA),1800/1800 Singles/Doubles Points AMATEUR
Ruben Heinrich,Ruben Heinrich (DE),2500/2500 Singles/Doubles Points EXPERT
RUBEN SAIS,RUBEN SAIS (CA),1800/1800 Singles/Doubles Points AMATEUR
Ruben Silverio,Ruben Silverio (),1600/1600 Singles/Doubles Points AMATEUR
Rudi Fischer,Rudi Fischer (München),1600/1600 Singles/Doubles Points AMATEUR
Rudolf Puschkasch,Rudolf Puschkasch (Mengerskirchen),1600/1600 Singles/Doubles Points AMATEUR
Rudolf Sailer,Rudolf Sailer (Würzburg),2600/2600 Singles/Doubles Points EXPERT
RUDY BALQUIN,RUDY BALQUIN (CO),1800/1800 Singles/Doubles Points AMATEUR
rudy fasouliotis,rudy fasouliotis (IL),1182/1182 Singles/Doubles Points ROOKIE
RUDY GARCIA,RUDY GARCIA (CO),1800/1800 Singles/Doubles Points AMATEUR
Rudy Grosz,Rudy Grosz (Annecy),1600/1600 Singles/Doubles Points AMATEUR
RUDY JIMENEZ,RUDY JIMENEZ (TX),1182/1182 Singles/Doubles Points ROOKIE
RUDY LINARES,RUDY LINARES (CA),1800/1800 Singles/Doubles Points AMATEUR
RUDY RAMIREZ,RUDY RAMIREZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RUDY VALADEZ,RUDY VALADEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RUI COSTEIRA,RUI COSTEIRA (ON),1800/1800 Singles/Doubles Points AMATEUR
RUS PORTERFIELD,RUS PORTERFIELD (OK),1800/1800 Singles/Doubles Points AMATEUR
Ruslan Riabokoniev,Ruslan Riabokoniev (UT),816/816 Singles/Doubles Points BEGINNER
RUSS CLARK,RUSS CLARK (KY),1182/1182 Singles/Doubles Points ROOKIE
RUSS CRAIG,RUSS CRAIG (AR),1182/1182 Singles/Doubles Points ROOKIE
RUSS KING,RUSS KING (CA),4800/4800 Singles/Doubles Points PRO
RUSS PARAMORE,RUSS PARAMORE (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSS PAYNE,RUSS PAYNE (NY),1800/1800 Singles/Doubles Points AMATEUR
RUSS PEGG,RUSS PEGG (MI),1182/1182 Singles/Doubles Points ROOKIE
RUSS RHOADES,RUSS RHOADES (MD),1182/1182 Singles/Doubles Points ROOKIE
RUSS RICHARDS,RUSS RICHARDS (PA),1800/1800 Singles/Doubles Points AMATEUR
RUSS ROBINSON,RUSS ROBINSON (CO),1800/1800 Singles/Doubles Points AMATEUR
RUSS STEPHENS,RUSS STEPHENS (MT),1800/1800 Singles/Doubles Points AMATEUR
Russ Thiessen,Russ Thiessen (CA),801/801 Singles/Doubles Points BEGINNER
RUSSELL BARTLEY,RUSSELL BARTLEY (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSSELL BATES,RUSSELL BATES (TX),1182/1182 Singles/Doubles Points ROOKIE
RUSSELL CLEMONS,RUSSELL CLEMONS (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSSELL DEYERLE,RUSSELL DEYERLE (CA),2362/2338 Singles/Doubles Points EXPERT
Russell Elder,Russell Elder (UT),800/800 Singles/Doubles Points BEGINNER
RUSSELL GERSHON,RUSSELL GERSHON (AK),1800/1800 Singles/Doubles Points AMATEUR
RUSSELL GREEN,RUSSELL GREEN (NY),1800/1800 Singles/Doubles Points AMATEUR
RUSSELL GREVE,RUSSELL GREVE (TX),1182/1182 Singles/Doubles Points ROOKIE
RUSSELL HAYDEN,Russell Hayden (NV),1200/1200 Singles/Doubles Points ROOKIE
Russell Hayden,Russell Hayden (NV),1200/1200 Singles/Doubles Points ROOKIE
RUSSELL HEBERT,RUSSELL HEBERT (LA),1182/1182 Singles/Doubles Points ROOKIE
RUSSELL KRIEG,RUSSELL KRIEG (TX),2000/2100 Singles/Doubles Points EXPERT
RUSSELL MARTIN,RUSSELL MARTIN (MD),1182/1182 Singles/Doubles Points ROOKIE
RUSSELL MONTEZ,RUSSELL MONTEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
RUSSELL REINKE,RUSSELL REINKE (NY),1182/1182 Singles/Doubles Points ROOKIE
RUSSELL SCARPINO,RUSSELL SCARPINO (CO),801/801 Singles/Doubles Points BEGINNER
Russell Shelton,Russell Shelton (LA),800/800 Singles/Doubles Points BEGINNER
RUSSELL VARNELL,RUSSELL VARNELL (LA),1800/1800 Singles/Doubles Points AMATEUR
Russell Wilson,Russell Wilson (TX),800/800 Singles/Doubles Points BEGINNER
RUSSELL WYMAN,RUSSELL WYMAN (TX),1800/1800 Singles/Doubles Points AMATEUR
Russle Elder,RUSSELL WYMAN (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSTY ALDER,Russle Elder (UT),800/800 Singles/Doubles Points BEGINNER
RUSTY ALLEN,RUSTY ALLEN (LA),1182/1182 Singles/Doubles Points ROOKIE
RUSTY BRYANT,RUSTY BRYANT (OK),1182/1182 Singles/Doubles Points ROOKIE
RUSTY BURNS,RUSTY BURNS (TX),1182/1182 Singles/Doubles Points ROOKIE
RUSTY CLANAHAN,RUSTY CLANAHAN (OK),1800/1800 Singles/Doubles Points AMATEUR
RUSTY CLIFT,RUSTY CLIFT (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSTY COMEAUX,RUSTY COMEAUX (MS),1100/1100 Singles/Doubles Points ROOKIE
RUSTY GARNER,RUSTY GARNER (MS),1182/1182 Singles/Doubles Points ROOKIE
RUSTY GAUDIN,RUSTY GAUDIN (LA),1800/1800 Singles/Doubles Points AMATEUR
RUSTY GEIGER,RUSTY GEIGER (WI),1800/1800 Singles/Doubles Points AMATEUR
RUSTY HIMES,RUSTY HIMES (NM),1800/1800 Singles/Doubles Points AMATEUR
RUSTY MCBRIDE,RUSTY MCBRIDE (MO),1800/1800 Singles/Doubles Points AMATEUR
RUSTY MCDONALD,RUSTY MCDONALD (TX),1800/1800 Singles/Doubles Points AMATEUR
Rusty MUCHMORE,Rusty MUCHMORE (CO),801/801 Singles/Doubles Points BEGINNER
RUSTY PEYSEN,RUSTY PEYSEN (TX),1800/1800 Singles/Doubles Points AMATEUR
RUSTY PHELPS,RUSTY PHELPS (OK),1800/1800 Singles/Doubles Points AMATEUR
RUSTY SPRAGUE,RUSTY SPRAGUE (ID),1800/1800 Singles/Doubles Points AMATEUR
RUSTY TAYLOR,RUSTY TAYLOR (IA),1800/1800 Singles/Doubles Points AMATEUR
RUSTY WAKEFIELD,RUSTY WAKEFIELD (TN),1182/1182 Singles/Doubles Points ROOKIE
RUSTY WILSON,RUSTY WILSON (MS),1800/1800 Singles/Doubles Points AMATEUR
RUTH BIERI,RUTH BIERI (IL),1800/1800 Singles/Doubles Points AMATEUR
RUTH ONEILL,RUTH ONEILL (MD),1182/1182 Singles/Doubles Points ROOKIE
Ryan Acuna,Ryan Acuna (CO),1600/1766 Singles/Doubles Points AMATEUR
RYAN ALVAREZ,Ryan Acuna (CO),1600/1766 Singles/Doubles Points AMATEUR
Ryan Ballew,RYAN ALVAREZ (TX),1792/1800 Singles/Doubles Points AMATEUR
Ryan Beltz,Ryan Beltz (IN),801/801 Singles/Doubles Points BEGINNER
RYAN BERLIN,RYAN BERLIN (SD),1800/1800 Singles/Doubles Points AMATEUR
RYAN BOEHRINGER,RYAN BOEHRINGER (OH),1182/1182 Singles/Doubles Points ROOKIE
RYAN BRADLEY,RYAN BRADLEY (HI),1182/1182 Singles/Doubles Points ROOKIE
RYAN BRORBY,RYAN BRORBY (MN),1800/1800 Singles/Doubles Points AMATEUR
Ryan Call,Ryan Call (OH),800/800 Singles/Doubles Points BEGINNER
RYAN CHAKROFF,RYAN CHAKROFF (OH),400/400 Singles/Doubles Points JUNIOR AMATEUR
Ryan Cline,BRYAN CLINE (TX),1182/1182 Singles/Doubles Points ROOKIE
RYAN COLBY,RYAN COLBY (TX),1800/1800 Singles/Doubles Points AMATEUR
RYAN COLDREN,RYAN COLDREN (KS),1800/1800 Singles/Doubles Points AMATEUR
RYAN CRADICK,RYAN CRADICK (XX),1800/1800 Singles/Doubles Points AMATEUR
RYAN DENTON,RYAN DENTON (OK),1800/1800 Singles/Doubles Points AMATEUR
Ryan Dupre,Ryan Dupre (LA),801/801 Singles/Doubles Points BEGINNER
RYAN EASTON,"RYAN ""jack"" J EASTON (OK)",1182/1182 Singles/Doubles Points ROOKIE
RYAN EVANS,RYAN EVANS (OH),1800/1800 Singles/Doubles Points AMATEUR
RYAN FLANAGAN,RYAN FLANAGAN (IA),1800/1800 Singles/Doubles Points AMATEUR
RYAN FORSLUND,RYAN FORSLUND (MN),1800/1800 Singles/Doubles Points AMATEUR
RYAN FUGLER,RYAN FUGLER (LA),1182/1182 Singles/Doubles Points ROOKIE
Ryan Ghalayini,Ryan Ghalayini (VA),816/800 Singles/Doubles Points BEGINNER
Ryan Gold,Ryan Gold (VA),800/800 Singles/Doubles Points BEGINNER
RYAN GRIGG,RYAN GRIGG (NE),1800/1800 Singles/Doubles Points AMATEUR
Ryan Gubler,Ryan Gubler (UT),806/806 Singles/Doubles Points BEGINNER
Ryan Hanson,Ryan Hanson (OH),1005/801 Singles/Doubles Points ROOKIE
RYAN HARVEY,RYAN HARVEY (OR),2502/2615 Singles/Doubles Points EXPERT
Ryan HAUBEN,Ryan HAUBEN (BE),800/800 Singles/Doubles Points BEGINNER
Ryan Hegler,Ryan Hegler (CO),801/801 Singles/Doubles Points BEGINNER
RYAN HINTON,RYAN HINTON (MI),1182/1182 Singles/Doubles Points ROOKIE
Ryan Holland,Ryan Holland (UT),800/800 Singles/Doubles Points BEGINNER
RYAN HOOKS,RYAN HOOKS (TX),801/801 Singles/Doubles Points BEGINNER
RYAN HOY,RYAN HOY (NE),1800/1800 Singles/Doubles Points AMATEUR
RYAN HURD,RYAN HOY (NE),1800/1800 Singles/Doubles Points AMATEUR
RYAN JAIME,RYAN HURD (AR),1800/1800 Singles/Doubles Points AMATEUR
RYAN JALOWIECKI,RYAN JALOWIECKI (IL),1800/1800 Singles/Doubles Points AMATEUR
Ryan Jenson,Ryan Jenson (UT),800/800 Singles/Doubles Points BEGINNER
RYAN KALDAHL,RYAN KALDAHL (MN),1800/1800 Singles/Doubles Points AMATEUR
RYAN KNAPTON,RYAN KNAPTON (CO),2487/2999 Singles/Doubles Points EXPERT
RYAN LEBOW,RYAN LEBOW (NE),1800/1800 Singles/Doubles Points AMATEUR
RYAN LOCH,RYAN LOCH (MN),1800/1800 Singles/Doubles Points AMATEUR
RYAN LOTZ,RYAN LOTZ (MI),300/300 Singles/Doubles Points JUNIOR AMATEUR
Ryan Lynch,Ryan Lynch (UT),800/800 Singles/Doubles Points BEGINNER
Ryan Macdonald,Ryan Macdonald (MT),1800/1800 Singles/Doubles Points AMATEUR
RYAN MANNING,RYAN MANNING (TX),1800/1800 Singles/Doubles Points AMATEUR
RYAN MCCARTY,RYAN MCCARTY (KS),1800/1800 Singles/Doubles Points AMATEUR
RYAN MCNUTT,RYAN MCNUTT (OH),1800/1800 Singles/Doubles Points AMATEUR
Ryan Merrifield,Ryan Merrifield (DE),1800/1816 Singles/Doubles Points AMATEUR
RYAN MICHAUD,RYAN MICHAUD (LA),838/843 Singles/Doubles Points BEGINNER
Ryan Moore,Ryan Moore (OK),5618/5578 Singles/Doubles Points MASTER
Ryan Moran,Ryan Moran (MS),801/801 Singles/Doubles Points BEGINNER
Ryan Noffsinger,Ryan Noffsinger (CO),801/801 Singles/Doubles Points BEGINNER
Ryan Nowicki,Ryan Nowicki (UT),805/805 Singles/Doubles Points BEGINNER
Ryan Oliver,Ryan Oliver (MO),400/400 Singles/Doubles Points JUNIOR AMATEUR
Ryan Olson,"Ryan ""ryan mediocre"" J Olson (WI)",1800/1800 Singles/Doubles Points AMATEUR
RYAN PATTERSON,RYAN PATTERSON (CA),801/801 Singles/Doubles Points BEGINNER
Ryan Perkins,Ryan Perkins (UT),800/800 Singles/Doubles Points BEGINNER
RYAN PESKY,RYAN PESKY (SD),1800/1800 Singles/Doubles Points AMATEUR
RYAN PRATT,RYAN PRATT (IL),1800/1800 Singles/Doubles Points AMATEUR
Ryan Quinn,Ryan Quinn (MO),823/822 Singles/Doubles Points BEGINNER
Ryan Radez,"Ryan ""Ryjoe"" J Radez (IN)",1182/1182 Singles/Doubles Points ROOKIE
Ryan Rahinel,Ryan Rahinel (OH),1113/1142 Singles/Doubles Points ROOKIE
RYAN RATAJIK,RYAN RATAJIK (OH),1600/1600 Singles/Doubles Points AMATEUR
RYAN RELF,RYAN RELF (UT),802/802 Singles/Doubles Points BEGINNER
Ryan Roussel,Ryan Roussel (LA),964/878 Singles/Doubles Points BEGINNER
RYAN SOLEM,RYAN SOLEM (WI),801/801 Singles/Doubles Points BEGINNER
Ryan Soliday,Ryan Soliday (MN),800/815 Singles/Doubles Points BEGINNER
RYAN STEVENS,RYAN STEVENS (MS),1182/1182 Singles/Doubles Points ROOKIE
RYAN STRACERER,RYAN STRACERER (NM),1800/1800 Singles/Doubles Points AMATEUR
RYAN TAYLOR,BRYAN TAYLOR (WI),1800/1800 Singles/Doubles Points AMATEUR
Ryan Thiele,Ryan Thiele (ND),801/801 Singles/Doubles Points BEGINNER
Ryan Tyler,"Ryan ""RT"" Tyler (IL)",1800/1800 Singles/Doubles Points AMATEUR
RYAN VANSCLAIK,RYAN VANSCLAIK (TX),1182/1182 Singles/Doubles Points ROOKIE
RYAN VERCELLONE,RYAN VERCELLONE (MA),1182/1182 Singles/Doubles Points ROOKIE
Ryan WHITE,Ryan WHITE (MT),801/801 Singles/Doubles Points BEGINNER
RYANNE KONAN,RYANNE KONAN (NY),1800/1800 Singles/Doubles Points AMATEUR
Ryder Hall,Ryder Hall (IN),801/801 Singles/Doubles Points BEGINNER
RYDER WILSON,RYDER WILSON (PA),300/300 Singles/Doubles Points JUNIOR AMATEUR
Ryne ELY,Ryne ELY (OH),800/800 Singles/Doubles Points BEGINNER
RYOHEI YAMAZAKI,RYOHEI YAMAZAKI (JA),1800/1800 Singles/Doubles Points AMATEUR
S. FISCHER,S. FISCHER (TX),1800/1800 Singles/Doubles Points AMATEUR
SAAED ALTAMEEMI,SAAED ALTAMEEMI (TX),1182/1182 Singles/Doubles Points ROOKIE
sabih sabki,sabih sabki (IN),1800/1800 Singles/Doubles Points AMATEUR
SABINA MCCOY,SABINA MCCOY (NH),1182/1182 Singles/Doubles Points ROOKIE
SABINE REDOULES,SABINE REDOULES (FR),1800/1800 Singles/Doubles Points AMATEUR
SABRENA PRIVETT,SABRENA PRIVETT (OK),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
Sabrina Hayn,Sabrina Hayn (Stuttgart),1600/1600 Singles/Doubles Points AMATEUR
Sacha Gressier,Sacha Gressier (Jette),1600/1600 Singles/Doubles Points AMATEUR
Sae Jong Hong,Sae Jong Hong (CA),800/824 Singles/Doubles Points BEGINNER
Saeed Alameri,Saeed Alameri (CO),801/801 Singles/Doubles Points BEGINNER
SAEED ALBADI,SAEED ALBADI (TX),1182/1182 Singles/Doubles Points ROOKIE
Safabey Karadag,Safabey Karadag (Köln),2600/2600 Singles/Doubles Points EXPERT
Safi SHIBER,"Safi ""dinkmaster"" M SHIBER (LA)",3222/3391 Singles/Doubles Points PRO
Sahin T.,Sahin T. (),1600/1600 Singles/Doubles Points AMATEUR
Sal Alhanna,Sal Alhanna (TX),1182/1182 Singles/Doubles Points ROOKIE
SAL ESCOREALA,SAL ESCOREALA (CA),1800/1800 Singles/Doubles Points AMATEUR
SAL MUCERINO,SAL MUCERINO (IL),1800/1800 Singles/Doubles Points AMATEUR
SAL MUSSO,SAL MUSSO (LA),1800/1800 Singles/Doubles Points AMATEUR
Salem Ali,Salem Ali (),1632/1652 Singles/Doubles Points AMATEUR
SALVADOR DOMENECH,SALVADOR DOMENECH (NV),1182/1182 Singles/Doubles Points ROOKIE
SALVATORE AGRUSA,SALVATORE J AGRUSA (MI),1600/1600 Singles/Doubles Points AMATEUR
SALVATORE CANDELARIA,SALVATORE CANDELARIA (GA),1800/1800 Singles/Doubles Points AMATEUR
Salvatore Fregapane,Salvatore Fregapane (Rastatt),1600/1600 Singles/Doubles Points AMATEUR
Salvatore Lo Manto,Salvatore Lo Manto (Irlich),2600/2600 Singles/Doubles Points EXPERT
Sam Anderson,Sam Anderson (TX),1182/1182 Singles/Doubles Points ROOKIE
Sam Baker,SAM BAKER (CA),1800/1800 Singles/Doubles Points AMATEUR
SAM BAKER,SAM BAKER (CA),1800/1800 Singles/Doubles Points AMATEUR
Sam Berkeland,Sam Berkeland (MN),1001/1001 Singles/Doubles Points ROOKIE
Sam Boss,Sam Boss (UT),800/800 Singles/Doubles Points BEGINNER
SAM BOSWORTH,SAM BOSWORTH (CA),1800/1800 Singles/Doubles Points AMATEUR
SAM BRANNON,SAM BRANNON (GA),1800/1800 Singles/Doubles Points AMATEUR
SAM CANALES,SAM CANALES (TX),1800/1800 Singles/Doubles Points AMATEUR
Sam Crockett,Sam Crockett (VA),1182/1182 Singles/Doubles Points ROOKIE
Sam DiJohn,Sam DiJohn (NY),1684/2293 Singles/Doubles Points EXPERT
SAM DILL,SAM DILL (OK),3440/3440 Singles/Doubles Points PRO
Sam Douglass,Sam Douglass (KY),801/801 Singles/Doubles Points BEGINNER
SAM DUONG,SAM DUONG (NM),1800/1800 Singles/Doubles Points AMATEUR
SAM FALCO,SAM FALCO (IL),1800/1800 Singles/Doubles Points AMATEUR
Sam Ghalayini,Sam Ghalayini (VA),800/800 Singles/Doubles Points BEGINNER
SAM GLADIS,SAM GLADIS (MO),1800/1800 Singles/Doubles Points AMATEUR
SAM HAINES,SAM HAINES (FL),1800/1800 Singles/Doubles Points AMATEUR
SAM HUNTER,SAM HUNTER (NC),1800/1800 Singles/Doubles Points AMATEUR
SAM LANE,SAM LANE (UK),1800/1800 Singles/Doubles Points AMATEUR
SAM MAYNARD,SAM MAYNARD (AR),1800/1800 Singles/Doubles Points AMATEUR
SAM MAZOB,SAM MAZOB (OH),1182/1182 Singles/Doubles Points ROOKIE
SAM MCKIBBEN,SAM MCKIBBEN (TX),1800/1800 Singles/Doubles Points AMATEUR
Sam Mudd,Sam Mudd (MO),400/400 Singles/Doubles Points JUNIOR AMATEUR
SAM NUGENT,SAM NUGENT (MO),1800/1800 Singles/Doubles Points AMATEUR
SAM ROSCOE DEERE,SAM ROSCOE DEERE (TX),1823/1799 Singles/Doubles Points AMATEUR
SAM ROSEMAN,SAM ROSEMAN (IL),1800/1800 Singles/Doubles Points AMATEUR
SAM RUE,SAM RUE (LA),1800/1800 Singles/Doubles Points AMATEUR
SAM RUSSO,SAM RUSSO (NY),1800/1800 Singles/Doubles Points AMATEUR
SAM SHAW,SAM SHAW (MI),1800/1800 Singles/Doubles Points AMATEUR
SAM SICILIANO,SAM SICILIANO (PA),1800/1800 Singles/Doubles Points AMATEUR
SAM SIMS,SAM SIMS (OH),1800/1800 Singles/Doubles Points AMATEUR
SAM SINKFIELD,SAM SINKFIELD (GA),801/801 Singles/Doubles Points BEGINNER
Sam Van Eijsden,Sam Van Eijsden (),1600/1600 Singles/Doubles Points AMATEUR
SAM ZAROU,SAM ZAROU (NY),1800/1800 Singles/Doubles Points AMATEUR
SAMANTHA COLE,SAMANTHA COLE (TX),1800/1800 Singles/Doubles Points AMATEUR
SAMANTHA MATTHEW,SAMANTHA MATTHEW (NE),1800/1800 Singles/Doubles Points AMATEUR
SAMANTHA THOMPSON,SAMANTHA THOMPSON (TX),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
Samarjot Bhupal,Samarjot Bhupal (IN),800/800 Singles/Doubles Points BEGINNER
Sami Kanderian,Sami Kanderian (MD),801/801 Singles/Doubles Points BEGINNER
Sami Kergaye,Sami Kergaye (UT),800/800 Singles/Doubles Points BEGINNER
SAMIA AGUIRRE,SAMIA AGUIRRE (CA),1800/1800 Singles/Doubles Points AMATEUR
Samir El-Mehdaoui,Samir El-Mehdaoui (Brüssel),1600/1600 Singles/Doubles Points AMATEUR
Samjessa Lewy,Samjessa Lewy (Hamburg),1600/1600 Singles/Doubles Points AMATEUR
SAMMY AMARTI,SAMMY AMARTI (VA),1182/1182 Singles/Doubles Points ROOKIE
SAMMY BROOKS,SAMMY BROOKS (GA),1800/1800 Singles/Doubles Points AMATEUR
Sammy Frazier,Sammy Frazier (MS),1584/1652 Singles/Doubles Points AMATEUR
SAMMY JESSIE,SAMMY JESSIE (KY),1182/1182 Singles/Doubles Points ROOKIE
SAMMY KNAPP,SAMMY KNAPP (OK),1816/1844 Singles/Doubles Points AMATEUR
Sammy poulos,Sammy poulos (IL),801/801 Singles/Doubles Points BEGINNER
Sammy Reagan,Sammy Reagan (NE),801/801 Singles/Doubles Points BEGINNER
Samuel Agrusa,Samuel Agrusa (MI),400/400 Singles/Doubles Points JUNIOR AMATEUR
Samuel Deslauriers,Samuel Deslauriers (Quebec),801/801 Singles/Doubles Points BEGINNER
Samuel Fineanganofo,Samuel Fineanganofo (UT),802/802 Singles/Doubles Points BEGINNER
SAMUEL HARPER,SAMUEL HARPER (TX),1600/1600 Singles/Doubles Points AMATEUR
SAMUEL MCKEOWN,SAMUEL MCKEOWN (MS),801/801 Singles/Doubles Points BEGINNER
SAMUEL MECHAM,SAMUEL MECHAM (UT),802/802 Singles/Doubles Points BEGINNER
Samuel Nies,Samuel Nies (),1600/1600 Singles/Doubles Points AMATEUR
SAMUEL OWENS,SAMUEL OWENS (OK),1800/1800 Singles/Doubles Points AMATEUR
Samuel Wilkins,Samuel J Wilkins (AB),1100/1100 Singles/Doubles Points ROOKIE
SAMUEL ZEID,SAMUEL ZEID (TX),1182/1182 Singles/Doubles Points ROOKIE
Sander Winters,Sander Winters (Eindhoven),2600/2600 Singles/Doubles Points EXPERT
Sanders Winters,Sanders Winters (),3100/3100 Singles/Doubles Points PRO
Sandor Szabo,Sandor Szabo (Fürth),1600/1616 Singles/Doubles Points AMATEUR
Sandra Bernhardt,Sandra Bernhardt (Würzburg),1600/1600 Singles/Doubles Points AMATEUR
SANDRA DEE PHIBBS,SANDRA DEE PHIBBS (NY),1800/1800 Singles/Doubles Points AMATEUR
Sandra Dubois,Sandra Dubois (Frankfurt),2100/2100 Singles/Doubles Points EXPERT
SANDRA HARMON,SANDRA HARMON (LA),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
Sandra Herrmann,Sandra Herrmann (),1600/1600 Singles/Doubles Points AMATEUR
Sandra Hinze,Sandra Hinze (Bonn),1900/1900 Singles/Doubles Points AMATEUR
Sandra Meinel,Sandra Meinel (),1600/1600 Singles/Doubles Points AMATEUR
SANDRA STALMANS,SANDRA STALMANS (NL),1800/1800 Singles/Doubles Points AMATEUR
SANDRA STORMES,SANDRA STORMES (FL),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
Sandra Weiche,Sandra Weiche (Würzburg),1600/1600 Singles/Doubles Points AMATEUR
Sandro Aeberhard,Sandro Aeberhard (),1900/1900 Singles/Doubles Points AMATEUR
Sandro Brand,Sandro Brand (),1600/1600 Singles/Doubles Points AMATEUR
Sandro Lenz,Sandro Lenz (),1800/1800 Singles/Doubles Points AMATEUR
SANDRO PITZANTI,SANDRO PITZANTI (NL),1800/1800 Singles/Doubles Points AMATEUR
Sandro Winkler,Sandro Winkler (Urdorf),1600/1600 Singles/Doubles Points AMATEUR
SANDY BELLICOURT,SANDY BELLICOURT (FL),1800/1800 Singles/Doubles Points AMATEUR
SANDY JOSTAD,SANDY JOSTAD (ON),1800/1800 Singles/Doubles Points AMATEUR
SANDY RIOS,SANDY RIOS (OK),1800/1800 Singles/Doubles Points AMATEUR
SANDY STANKIEWICZ,SANDY STANKIEWICZ (NY),1800/1800 Singles/Doubles Points AMATEUR
SANDY WALSER,SANDY WALSER (NC),1800/1800 Singles/Doubles Points AMATEUR
SANJ SINGH,SANJ SINGH (AB),1800/1800 Singles/Doubles Points AMATEUR
SANJAY KUMAR,SANJAY KUMAR (UK),1800/1800 Singles/Doubles Points AMATEUR
SANJEET BNOOLA,SANJEET BNOOLA (CD),1182/1182 Singles/Doubles Points ROOKIE
SANJIV JIVAN,SANJIV JIVAN (MA),1182/1182 Singles/Doubles Points ROOKIE
SANTIAGO ANSELMI,SANTIAGO ANSELMI (FL),1800/1800 Singles/Doubles Points AMATEUR
SANTIAGO CORNEJO,SANTIAGO CORNEJO (TX),1800/1800 Singles/Doubles Points AMATEUR
SANYA DUNN,SANYA DUNN (CA),1800/1800 Singles/Doubles Points AMATEUR
SARA DAVENPORT,SARA DAVENPORT (CA),1800/1800 Singles/Doubles Points AMATEUR
SARA LARSON,SARA LARSON (SD),1800/1800 Singles/Doubles Points AMATEUR
SARA MARROW,SARA MARROW (CA),1800/1800 Singles/Doubles Points AMATEUR
Sara Schrader,Sara Schrader (Hannover),1600/1600 Singles/Doubles Points AMATEUR
Sarah Agaoglu,Sarah Agaoglu (Berlin),1600/1600 Singles/Doubles Points AMATEUR
Sarah Aupperle,Sarah Aupperle (Köln),1600/1600 Singles/Doubles Points AMATEUR
SARAH BERNICO,SARAH BERNICO (FL),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
SARAH DALESANDRY,SARAH DALESANDRY (CO),1800/1800 Singles/Doubles Points AMATEUR
SARAH DWARIKA,SARAH DWARIKA (FL),1800/1800 Singles/Doubles Points AMATEUR
SARAH GREGORY,SARAH GREGORY (OK),1800/1800 Singles/Doubles Points AMATEUR
Sarah K.,Sarah K. (),1600/1600 Singles/Doubles Points AMATEUR
