RAYMOND DAVIS,RAYMOND H DAVIS (TN),1600/1612 Singles/Doubles Points AMATEUR
RAYMOND GARCIA,RAYMOND GARCIA (NV),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND GATBAR III,RAYMOND GATBAR III (IL),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND HAUSENFLUCK,RAYMOND HAUSENFLUCK (MN),1800/1800 Singles/Doubles Points AMATEUR
Raymond Jaufre,Raymond Jaufre (LA),800/800 Singles/Doubles Points BEGINNER
RAYMOND MANNING,RAYMOND MANNING (CA),1800/1800 Singles/Doubles Points AMATEUR
Raymond Miles,Raymond Miles (CO),801/801 Singles/Doubles Points BEGINNER
RAYMOND PALIS,RAYMOND PALIS (FL),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND PIERCE,RAYMOND J PIERCE (FL),1624/1624 Singles/Doubles Points AMATEUR
Raymond Tang,"Raymond ""Duckangel"" Tang (Penang)",1800/1800 Singles/Doubles Points AMATEUR
RAYMOND THOMPSON,RAYMOND THOMPSON (LA),1182/1182 Singles/Doubles Points ROOKIE
RAYNE THOMAS,RAYNE THOMAS (LA),1800/1800 Singles/Doubles Points AMATEUR
REANEE DIAZ,REANEE DIAZ (FL),1800/1800 Singles/Doubles Points AMATEUR
REBECCA DODSON,REBECCA DODSON (AL),1800/1800 Singles/Doubles Points AMATEUR
REBECCA KNIGHT,REBECCA KNIGHT (CA),1800/1800 Singles/Doubles Points AMATEUR
Rebecca Moser,Rebecca Moser (),2100/2100 Singles/Doubles Points EXPERT
Rebeeca Frese,Rebeeca Frese (MD),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
RED RYDER,RED RYDER (FL),1800/1800 Singles/Doubles Points AMATEUR
REED VANDERBOR,REED VANDERBOR (CO),1800/1800 Singles/Doubles Points AMATEUR
Reese Martin,Reese Martin (ND),801/801 Singles/Doubles Points BEGINNER
REESE O'NEIL,REESE O'NEIL (CO),1800/1800 Singles/Doubles Points AMATEUR
Reeve Sudweeks,Reeve Sudweeks (UT),800/800 Singles/Doubles Points BEGINNER
Refik Y.,Refik Y. (),3100/3100 Singles/Doubles Points PRO
REG CONGLETON,REG CONGLETON (TX),1800/1800 Singles/Doubles Points AMATEUR
REGAN PARKER,REGAN PARKER (AR),1800/1800 Singles/Doubles Points AMATEUR
REGGIE ANUBAR,REGGIE ANUBAR (CA),1800/1800 Singles/Doubles Points AMATEUR
REGGIE FRANK HOSTING,REGGIE FRANK HOSTING (CA),1800/1800 Singles/Doubles Points AMATEUR
REGGIE TYNES,REGGIE TYNES (OK),1800/1800 Singles/Doubles Points AMATEUR
REGINA ROBERTS,REGINA ROBERTS (AL),1800/1800 Singles/Doubles Points AMATEUR
REGIS JOHNSON,REGIS JOHNSON (TX),801/801 Singles/Doubles Points BEGINNER
REGIS LEVESQUE,REGIS LEVESQUE (QU),1800/1800 Singles/Doubles Points AMATEUR
REGIS MORRALE,REGIS MORRALE (NY),1800/1800 Singles/Doubles Points AMATEUR
REGO COREY,REGO COREY (VT),1182/1182 Singles/Doubles Points ROOKIE
Reid Abel,Reid Abel (MI),2204/2188 Singles/Doubles Points EXPERT
REID CRANFORD,REID CRANFORD (NC),1800/1800 Singles/Doubles Points AMATEUR
Reiner Wohlgemuth,Reiner Wohlgemuth (Barmstedt),2100/2100 Singles/Doubles Points EXPERT
Reinhard Kenzel,Reinhard Kenzel (Korlskron),1600/1600 Singles/Doubles Points AMATEUR
REINHOLD MEISTER,REINHOLD MEISTER (GE),2500/2500 Singles/Doubles Points EXPERT
Remco van Kerkhof,Remco van Kerkhof (Alsdorf),2600/2600 Singles/Doubles Points EXPERT
REMI SIMARD,REMI SIMARD (QUEBEC),1182/1182 Singles/Doubles Points ROOKIE
Remington Jeffords,Remington Jeffords (UT),800/800 Singles/Doubles Points BEGINNER
